Property Code,2022 Storage Comp price,2023 Storage Comp price,Total Units (2022Jul) (Storage),Occupied (2022Jul) (Storage),Percentage% (2022Jul) (Storage),New Lease (2022Jul) (Storage),Ending Lease (2022Jul) (Storage),Market Price (2022Jul) (Storage),Current Price (2022Jul) (Storage),Lease_Turnover_Rate% (2022Jul) (Storage),Ending_Lease_Rate% (2022Jul) (Storage),Total Units (2022Aug) (Storage),Occupied (2022Aug) (Storage),Percentage% (2022Aug) (Storage),New Lease (2022Aug) (Storage),Ending Lease (2022Aug) (Storage),Market Price (2022Aug) (Storage),Current Price (2022Aug) (Storage),Lease_Turnover_Rate% (2022Aug) (Storage),Ending_Lease_Rate% (2022Aug) (Storage),Total Units (2022Sep) (Storage),Occupied (2022Sep) (Storage),Percentage% (2022Sep) (Storage),New Lease (2022Sep) (Storage),Ending Lease (2022Sep) (Storage),Market Price (2022Sep) (Storage),Current Price (2022Sep) (Storage),Lease_Turnover_Rate% (2022Sep) (Storage),Ending_Lease_Rate% (2022Sep) (Storage),Total Units (2022Oct) (Storage),Occupied (2022Oct) (Storage),Percentage% (2022Oct) (Storage),New Lease (2022Oct) (Storage),Ending Lease (2022Oct) (Storage),Market Price (2022Oct) (Storage),Current Price (2022Oct) (Storage),Lease_Turnover_Rate% (2022Oct) (Storage),Ending_Lease_Rate% (2022Oct) (Storage),Total Units (2022Dec) (Storage),Occupied (2022Dec) (Storage),Percentage% (2022Dec) (Storage),New Lease (2022Dec) (Storage),Ending Lease (2022Dec) (Storage),Market Price (2022Dec) (Storage),Current Price (2022Dec) (Storage),Lease_Turnover_Rate% (2022Dec) (Storage),Ending_Lease_Rate% (2022Dec) (Storage),Total Units (2023Apr) (Storage),Occupied (2023Apr) (Storage),Percentage% (2023Apr) (Storage),New Lease (2023Apr) (Storage),Ending Lease (2023Apr) (Storage),Market Price (2023Apr) (Storage),Current Price (2023Apr) (Storage),Lease_Turnover_Rate% (2023Apr) (Storage),Ending_Lease_Rate% (2023Apr) (Storage),Total Units (2023May) (Storage),Occupied (2023May) (Storage),Percentage% (2023May) (Storage),New Lease (2023May) (Storage),Ending Lease (2023May) (Storage),Market Price (2023May) (Storage),Current Price (2023May) (Storage),Lease_Turnover_Rate% (2023May) (Storage),Ending_Lease_Rate% (2023May) (Storage),Total Units (2023Jun) (Storage),Occupied (2023Jun) (Storage),Percentage% (2023Jun) (Storage),New Lease (2023Jun) (Storage),Ending Lease (2023Jun) (Storage),Market Price (2023Jun) (Storage),Current Price (2023Jun) (Storage),Lease_Turnover_Rate% (2023Jun) (Storage),Ending_Lease_Rate% (2023Jun) (Storage)
y40911,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
y40940,33.333333333333336,8.333333333333334,49.0,22.0,44.9,0.0,3.0,35.0,35.0,6.12,71.43,49.0,23.0,46.94,0.0,28.0,35.0,35.0,57.14,71.43,49.0,24.0,48.98,0.0,26.0,35.0,35.0,53.06,71.43,49.0,24.0,48.98,1.0,29.0,35.0,35.0,59.18,71.43,49.0,23.0,46.94,1.0,31.0,35.0,35.0,63.27,71.43,49.0,19.0,38.78,0.0,33.0,35.0,35.0,67.35,71.43,49.0,20.0,40.82,0.0,41.0,35.0,35.0,83.67,71.43,49.0,20.0,40.82,0.0,39.0,35.0,35.0,79.59,71.43
y40960,33.333333333333336,37.5,48.0,47.0,97.92,4.0,8.0,35.0,34.787234042553195,16.67,72.92,48.0,45.0,93.75,1.0,14.0,35.0,34.77777777777778,29.17,72.92,48.0,45.0,93.75,1.0,9.0,35.0,35.0,18.75,72.92,48.0,45.0,93.75,2.0,10.0,35.0,35.0,20.83,72.92,48.0,48.0,100.0,4.0,4.0,35.0,35.0,8.33,72.92,48.0,47.0,97.92,2.0,18.0,35.0,35.0,37.5,72.92,48.0,48.0,100.0,3.0,16.0,35.0,35.0,33.33,72.92,48.0,48.0,100.0,0.0,9.0,35.0,35.0,18.75,72.92
y41491,0.0,31.25,191.0,39.0,20.42,3.0,10.0,25.0,27.564102564102566,5.24,13.09,191.0,42.0,21.99,2.0,159.0,25.0,27.63157894736842,83.25,13.09,191.0,46.0,24.08,1.0,154.0,25.0,26.829268292682926,80.63,13.09,191.0,47.0,24.61,8.0,147.0,25.0,26.74418604651163,76.96,13.09,191.0,47.0,24.61,6.0,146.0,25.0,26.74418604651163,76.44,13.09,191.0,52.0,27.23,1.0,156.0,25.0,26.020408163265305,81.68,13.09,191.0,54.0,28.27,0.0,148.0,25.0,60.19607843137255,77.49,13.09,191.0,49.0,25.65,1.0,152.0,25.0,63.191489361702125,79.58,13.09
y41580,15.0,7.5,169.0,49.0,28.99,1.0,10.0,20.0,16.904761904761905,5.92,11.83,169.0,45.0,26.63,0.0,131.0,20.0,17.0,77.51,11.83,169.0,47.0,27.81,0.0,133.0,20.0,17.0,78.7,11.83,169.0,47.0,27.81,3.0,133.0,20.0,16.904761904761905,78.7,11.83,169.0,47.0,27.81,3.0,135.0,20.0,16.904761904761905,79.88,11.83,169.0,45.0,26.63,0.0,133.0,20.0,17.0,78.7,11.83,169.0,45.0,26.63,2.0,133.0,20.0,16.818181818181817,78.7,11.83,169.0,45.0,26.63,0.0,133.0,20.0,16.818181818181817,78.7,11.83
y50121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
y50670,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
y50680,32.5,63.75,241.0,92.0,38.17,10.0,9.0,25.0,23.621739130434776,3.73,10.37,241.0,89.0,36.93,0.0,161.0,30.0,23.826212121212112,66.8,12.45,241.0,92.0,38.17,2.0,158.0,30.0,23.876567164179093,65.56,12.45,241.0,94.0,39.0,3.0,156.0,30.0,24.269154929577454,64.73,12.45,241.0,97.0,40.25,8.0,154.0,30.0,24.596756756756747,63.9,12.45,241.0,100.0,41.49,0.0,161.0,50.0,25.010779220779217,66.8,20.75,241.0,103.0,42.74,4.0,156.0,50.0,25.965125,64.73,20.75,241.0,101.0,41.91,2.0,155.0,50.0,26.337948717948713,64.32,20.75
y52950,52.5,0.0,256.0,108.0,42.19,7.0,12.0,40.0,35.677407407407436,4.69,15.62,256.0,105.0,41.02,0.0,158.0,40.0,35.82828571428574,61.72,15.62,257.0,107.0,41.63,0.0,159.0,40.0,35.98570093457947,61.87,15.56,257.0,108.0,42.02,7.0,158.0,40.0,36.08138888888892,61.48,15.56,258.0,107.0,41.47,8.0,159.0,40.0,36.17635514018694,61.63,15.5,266.0,117.0,43.98,3.0,158.0,40.0,36.61573913043481,59.4,15.04,266.0,117.0,43.98,5.0,158.0,40.0,36.729035087719325,59.4,15.04,269.0,118.0,43.87,0.0,162.0,40.0,36.8082300884956,60.22,14.87
y53000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
y53590,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
y53600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
y53620,60.0,0.0,29.0,24.0,82.76,3.0,1.0,25.0,12.745,3.45,86.21,29.0,24.0,82.76,0.0,10.0,25.0,12.745000000000001,34.48,86.21,29.0,23.0,79.31,0.0,11.0,25.0,12.82375,37.93,86.21,29.0,24.0,82.76,0.0,12.0,25.0,12.82375,41.38,86.21,29.0,24.0,82.76,0.0,10.0,25.0,12.9075,34.48,86.21,29.0,24.0,82.76,0.0,14.0,25.0,12.985000000000001,48.28,86.21,29.0,23.0,79.31,1.0,16.0,25.0,14.940000000000001,55.17,86.21,29.0,23.0,79.31,0.0,14.0,25.0,14.940000000000001,48.28,86.21
y53630,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
y53640,25.0,50.0,48.0,32.0,66.67,2.0,1.0,30.0,24.823461538461533,2.08,62.5,48.0,34.0,70.83,0.0,16.0,30.0,25.70655172413793,33.33,62.5,48.0,36.0,75.0,0.0,14.0,30.0,26.208000000000002,29.17,62.5,48.0,37.0,77.08,2.0,16.0,30.0,26.4684375,33.33,62.5,48.0,38.0,79.17,2.0,11.0,30.0,26.90636363636364,22.92,62.5,48.0,37.0,77.08,0.0,12.0,30.0,26.97848484848485,25.0,62.5,48.0,39.0,81.25,3.0,12.0,30.0,27.172571428571427,25.0,62.5,48.0,39.0,81.25,0.0,12.0,30.0,27.244166666666665,25.0,62.5
y53650,20.0,13.25,225.0,177.0,78.67,21.0,42.0,20.0,19.372325581395334,18.67,8.89,225.0,171.0,76.0,3.0,79.0,25.0,19.382923076923056,35.11,11.11,225.0,171.0,76.0,1.0,79.0,25.0,19.41929687499998,35.11,11.11,225.0,174.0,77.33,15.0,82.0,25.0,19.47992187499998,36.44,11.11,225.0,171.0,76.0,6.0,75.0,25.0,19.562903225806433,33.33,11.11,225.0,171.0,76.0,1.0,85.0,25.0,19.852380952380933,37.78,11.11,225.0,176.0,78.22,23.0,76.0,25.0,20.13007633587785,33.78,11.11,225.0,177.0,78.67,0.0,76.0,25.0,20.216666666666658,33.78,11.11
y53660,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
y55265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
y55270,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
y55275,35.0,0.0,26.0,21.0,80.77,0.0,0.0,40.0,38.69,0.0,153.85,26.0,20.0,76.92,0.0,7.0,40.0,39.30650000000001,26.92,153.85,26.0,19.0,73.08,0.0,7.0,40.0,39.32263157894737,26.92,153.85,26.0,20.0,76.92,0.0,7.0,40.0,39.32263157894737,26.92,153.85,26.0,19.0,73.08,0.0,7.0,40.0,39.44052631578948,26.92,153.85,26.0,16.0,61.54,0.0,11.0,40.0,39.66875,42.31,153.85,26.0,16.0,61.54,0.0,10.0,40.0,39.66875,38.46,153.85,26.0,19.0,73.08,0.0,7.0,40.0,39.72105263157895,26.92,153.85
y63060,0.0,27.5,207.0,117.0,56.52,3.0,11.0,20.0,19.88095238095238,5.31,9.66,207.0,118.0,57.0,1.0,100.0,20.0,19.88372093023256,48.31,9.66,207.0,117.0,56.52,0.0,101.0,20.0,19.885057471264368,48.79,9.66,207.0,116.0,56.04,5.0,173.0,20.0,19.88372093023256,83.57,9.66,207.0,119.0,57.49,0.0,117.0,20.0,19.892473118279568,56.52,9.66,207.0,118.0,57.0,0.0,103.0,20.0,19.893617021276597,49.76,9.66,207.0,118.0,57.0,4.0,98.0,20.0,19.895833333333332,47.34,9.66,207.0,124.0,59.9,1.0,94.0,20.0,19.901960784313726,45.41,9.66
y63070,43.333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
y63075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
y63130,45.0,43.333333333333336,129.0,66.0,51.16,1.0,4.0,30.0,30.0,3.1,23.26,129.0,64.0,49.61,0.0,76.0,30.0,30.0,58.91,23.26,129.0,60.0,46.51,0.0,75.0,30.0,30.0,58.14,23.26,129.0,61.0,47.29,0.0,102.0,30.0,30.0,79.07,23.26,129.0,59.0,45.74,0.0,79.0,30.0,30.0,61.24,23.26,129.0,59.0,45.74,0.0,78.0,30.0,30.0,60.47,23.26,130.0,60.0,46.15,1.0,75.0,30.0,30.0,57.69,23.08,130.0,62.0,47.69,0.0,73.0,30.0,30.0,56.15,23.08
y63135,45.0,43.333333333333336,30.0,30.0,100.0,0.0,0.0,50.0,39.09090909090909,0.0,166.67,30.0,30.0,100.0,0.0,3.0,50.0,39.09090909090909,10.0,166.67,30.0,27.0,90.0,0.0,7.0,50.0,40.0,23.33,166.67,30.0,28.0,93.33,0.0,22.0,50.0,40.0,73.33,166.67,30.0,29.0,96.67,0.0,2.0,50.0,40.45454545454545,6.67,166.67,30.0,30.0,100.0,0.0,1.0,50.0,40.869565217391305,3.33,166.67,30.0,30.0,100.0,1.0,1.0,50.0,40.869565217391305,3.33,166.67,30.0,30.0,100.0,0.0,1.0,50.0,40.869565217391305,3.33,166.67
y64170,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
